ticket_id,customer_id,product_id,created_at,closed_at,status,priority,channel,root_cause,description
35,32,4,14/5/2023 7:12,,pending,medium,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Lending.
36,133,2,23/1/2023 2:20,12/2/2023 2:20,resolved,medium,app,Data Sync,Customer reported issue related to data sync on dBank Wallet.
37,425,6,6/5/2023 1:33,,open,low,email,User Error,Customer reported issue related to user error on dBank Mobile App.
38,203,8,31/1/2023 13:56,5/2/2023 13:56,resolved,low,web,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
39,229,3,5/2/2023 22:21,12/2/2023 22:21,resolved,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
40,144,7,21/5/2023 15:15,18/6/2023 15:15,closed,medium,app,Third-Party API,Customer reported issue related to third-party api on dBank API Gateway.
41,401,6,6/5/2024 19:49,,pending,high,call,UI Bug,Customer reported issue related to ui bug on dBank Mobile App.
42,93,1,23/11/2023 21:44,21/12/2023 21:44,resolved,low,email,Backend Timeout,Customer reported issue related to backend timeout on dBank Core.
43,393,10,27/8/2023 5:48,17/9/2023 5:48,closed,low,app,User Error,Customer reported issue related to user error on dBank Pay.
44,486,4,12/8/2024 14:08,7/9/2024 14:08,closed,low,call,User Error,Customer reported issue related to user error on dBank Lending.
45,358,6,24/7/2025 21:32,15/8/2025 21:32,resolved,high,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
46,97,8,9/7/2024 11:15,10/7/2024 11:15,closed,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
47,245,1,6/12/2023 22:21,10/12/2023 22:21,resolved,medium,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Core.
48,76,10,22/12/2024 5:09,,pending,high,call,User Error,Customer reported issue related to user error on dBank Pay.
49,340,7,23/8/2024 3:40,2/9/2024 3:40,closed,high,email,User Error,Customer reported issue related to user error on dBank API Gateway.
50,492,8,26/10/2024 11:33,25/11/2024 11:33,resolved,low,web,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
51,376,5,11/5/2023 6:28,10/6/2023 6:28,resolved,medium,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
52,163,10,15/8/2023 23:17,13/9/2023 23:17,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Pay.
53,164,3,13/10/2024 3:13,,pending,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
54,355,2,25/12/2023 9:20,,open,low,email,User Error,Customer reported issue related to user error on dBank Wallet.
55,497,3,24/6/2025 15:04,6/7/2025 15:04,resolved,low,app,User Error,Customer reported issue related to user error on dBank Savings.
56,404,10,28/10/2024 8:12,30/10/2024 8:12,closed,low,call,UI Bug,Customer reported issue related to ui bug on dBank Pay.
57,54,2,17/12/2023 6:11,,open,medium,app,UI Bug,Customer reported issue related to ui bug on dBank Wallet.
58,315,8,22/12/2024 1:07,11/1/2025 1:07,closed,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
59,52,6,30/7/2023 6:55,16/8/2023 6:55,resolved,medium,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
60,26,7,8/8/2024 20:00,,open,low,app,UI Bug,Customer reported issue related to ui bug on dBank API Gateway.
61,151,10,6/5/2024 7:16,12/5/2024 7:16,closed,medium,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Pay.
62,60,5,14/3/2025 14:28,11/4/2025 14:28,resolved,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
63,454,7,14/1/2024 6:47,22/1/2024 6:47,resolved,low,web,User Error,Customer reported issue related to user error on dBank API Gateway.
64,289,1,4/6/2023 3:31,15/6/2023 3:31,resolved,high,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Core.
65,431,7,18/4/2025 19:01,5/5/2025 19:01,resolved,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank API Gateway.
66,41,7,13/7/2025 1:15,10/8/2025 1:15,closed,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
67,86,4,7/4/2025 7:01,20/4/2025 7:01,closed,high,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
68,422,3,4/5/2025 21:39,2/6/2025 21:39,closed,low,email,Backend Timeout,Customer reported issue related to backend timeout on dBank Savings.
69,439,5,16/6/2024 16:40,,open,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
70,77,3,3/8/2024 21:24,2/9/2024 21:24,closed,high,app,User Error,Customer reported issue related to user error on dBank Savings.
71,445,9,20/6/2025 12:31,,pending,low,email,Backend Timeout,Customer reported issue related to backend timeout on dBank Insights.
72,243,1,26/6/2023 10:01,15/7/2023 10:01,resolved,low,call,User Error,Customer reported issue related to user error on dBank Core.
73,26,8,31/7/2025 9:46,,open,low,call,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
74,432,8,28/5/2025 3:34,,open,low,email,User Error,Customer reported issue related to user error on dBank Rewards.
75,165,5,16/1/2025 15:10,18/1/2025 15:10,closed,low,email,User Error,Customer reported issue related to user error on dBank Merchant.
76,389,9,7/6/2025 13:36,,open,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
77,436,9,19/6/2025 20:42,25/6/2025 20:42,closed,medium,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
78,26,6,22/12/2024 7:14,17/1/2025 7:14,resolved,low,app,User Error,Customer reported issue related to user error on dBank Mobile App.
79,124,6,15/5/2024 21:37,14/6/2024 21:37,resolved,low,call,UI Bug,Customer reported issue related to ui bug on dBank Mobile App.
80,429,5,5/2/2025 3:17,17/2/2025 3:17,closed,low,web,Data Sync,Customer reported issue related to data sync on dBank Merchant.
81,332,4,24/11/2024 7:31,7/12/2024 7:31,closed,medium,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Lending.
82,68,3,7/9/2024 0:18,26/9/2024 0:18,resolved,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Savings.
83,193,6,15/4/2024 9:10,24/4/2024 9:10,resolved,low,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
84,340,6,28/7/2024 23:34,6/8/2024 23:34,resolved,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
85,142,6,1/6/2025 10:04,23/6/2025 10:04,resolved,low,web,Data Sync,Customer reported issue related to data sync on dBank Mobile App.
86,413,10,18/2/2024 11:38,12/3/2024 11:38,closed,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Pay.
87,215,7,2/2/2024 1:17,20/2/2024 1:17,closed,low,web,User Error,Customer reported issue related to user error on dBank API Gateway.
88,327,8,17/7/2025 13:03,13/8/2025 13:03,closed,medium,web,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
89,242,3,28/1/2025 9:25,14/2/2025 9:25,closed,high,call,User Error,Customer reported issue related to user error on dBank Savings.
90,114,6,17/8/2023 11:10,14/9/2023 11:10,resolved,low,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
91,61,8,24/2/2023 23:05,26/3/2023 23:05,closed,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Rewards.
92,445,7,26/6/2024 10:51,23/7/2024 10:51,closed,low,web,UI Bug,Customer reported issue related to ui bug on dBank API Gateway.
93,292,8,27/5/2023 11:31,,open,medium,email,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
94,91,6,11/10/2024 2:06,19/10/2024 2:06,closed,medium,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
95,82,8,15/3/2025 3:12,28/3/2025 3:12,resolved,low,email,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
96,20,9,24/7/2023 13:35,,pending,medium,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
97,3,4,20/8/2023 12:32,23/8/2023 12:32,resolved,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
98,422,1,2/11/2023 10:35,18/11/2023 10:35,resolved,low,web,UI Bug,Customer reported issue related to ui bug on dBank Core.
99,462,8,3/1/2024 6:51,1/2/2024 6:51,resolved,low,web,User Error,Customer reported issue related to user error on dBank Rewards.
100,68,4,21/1/2025 0:47,26/1/2025 0:47,closed,low,app,UI Bug,Customer reported issue related to ui bug on dBank Lending.
101,328,5,28/2/2025 19:28,19/3/2025 19:28,closed,medium,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
102,60,7,30/3/2024 13:50,7/4/2024 13:50,resolved,medium,web,User Error,Customer reported issue related to user error on dBank API Gateway.
103,323,1,5/11/2023 15:19,26/11/2023 15:19,resolved,medium,web,UI Bug,Customer reported issue related to ui bug on dBank Core.
104,461,2,7/6/2024 22:29,10/6/2024 22:29,closed,low,web,User Error,Customer reported issue related to user error on dBank Wallet.
105,426,9,23/9/2025 7:20,6/10/2025 7:20,resolved,low,email,Data Sync,Customer reported issue related to data sync on dBank Insights.
106,353,8,5/12/2023 8:32,26/12/2023 8:32,closed,high,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
107,47,9,18/3/2023 3:41,,open,low,call,UI Bug,Customer reported issue related to ui bug on dBank Insights.
108,26,2,12/4/2025 6:21,,pending,low,call,UI Bug,Customer reported issue related to ui bug on dBank Wallet.
109,60,2,21/5/2025 1:40,25/5/2025 1:40,closed,low,email,Third-Party API,Customer reported issue related to third-party api on dBank Wallet.
110,138,2,17/1/2024 12:28,29/1/2024 12:28,resolved,high,call,User Error,Customer reported issue related to user error on dBank Wallet.
111,354,8,30/3/2025 15:21,24/4/2025 15:21,closed,low,app,Third-Party API,Customer reported issue related to third-party api on dBank Rewards.
112,433,3,17/4/2023 15:08,,pending,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
113,195,6,18/9/2024 1:02,,open,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
114,211,8,17/2/2023 2:18,27/2/2023 2:18,closed,medium,web,Third-Party API,Customer reported issue related to third-party api on dBank Rewards.
115,343,6,15/6/2024 19:02,4/7/2024 19:02,closed,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
116,340,7,2/6/2023 20:19,,open,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank API Gateway.
117,241,8,9/6/2025 6:01,24/6/2025 6:01,resolved,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
118,115,9,20/10/2024 13:47,27/10/2024 13:47,closed,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
119,256,8,20/11/2023 4:19,,open,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
120,282,1,25/4/2025 3:18,,pending,medium,web,User Error,Customer reported issue related to user error on dBank Core.
121,234,6,8/1/2024 1:58,,pending,low,email,User Error,Customer reported issue related to user error on dBank Mobile App.
122,187,8,27/4/2023 3:32,,open,low,call,User Error,Customer reported issue related to user error on dBank Rewards.
123,494,5,14/7/2024 19:00,17/7/2024 19:00,closed,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
124,368,7,20/4/2023 9:15,26/4/2023 9:15,closed,high,email,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
125,423,4,3/1/2025 12:18,16/1/2025 12:18,closed,high,app,User Error,Customer reported issue related to user error on dBank Lending.
126,231,8,5/11/2024 21:27,,open,high,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Rewards.
127,25,9,15/8/2025 15:45,,pending,high,web,User Error,Customer reported issue related to user error on dBank Insights.
128,89,3,17/4/2023 14:06,6/5/2023 14:06,resolved,low,email,UI Bug,Customer reported issue related to ui bug on dBank Savings.
129,312,4,8/10/2023 14:29,,pending,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
130,309,9,3/11/2023 19:56,,open,low,call,User Error,Customer reported issue related to user error on dBank Insights.
131,472,3,28/12/2024 23:40,,open,low,call,User Error,Customer reported issue related to user error on dBank Savings.
132,390,6,29/7/2024 17:29,28/8/2024 17:29,resolved,medium,call,Data Sync,Customer reported issue related to data sync on dBank Mobile App.
133,217,1,19/6/2024 3:52,23/6/2024 3:52,closed,medium,web,UI Bug,Customer reported issue related to ui bug on dBank Core.
134,403,3,21/10/2023 9:07,22/10/2023 9:07,resolved,low,app,UI Bug,Customer reported issue related to ui bug on dBank Savings.
135,232,2,22/9/2024 20:27,,pending,low,call,User Error,Customer reported issue related to user error on dBank Wallet.
136,25,7,1/2/2024 15:10,,pending,high,app,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
137,129,4,27/9/2024 16:07,,pending,medium,web,User Error,Customer reported issue related to user error on dBank Lending.
138,494,4,29/10/2023 16:20,19/11/2023 16:20,closed,low,web,User Error,Customer reported issue related to user error on dBank Lending.
139,62,7,11/2/2023 15:36,19/2/2023 15:36,closed,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
140,239,3,10/2/2023 5:35,,open,medium,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Savings.
141,294,9,2/1/2024 2:39,,pending,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Insights.
142,403,9,13/6/2023 15:08,25/6/2023 15:08,closed,low,web,User Error,Customer reported issue related to user error on dBank Insights.
143,170,6,28/10/2023 7:57,,pending,high,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
144,178,8,4/9/2023 23:23,23/9/2023 23:23,closed,high,call,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
145,408,2,31/1/2024 9:20,9/2/2024 9:20,closed,high,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Wallet.
146,261,8,13/5/2024 1:35,2/6/2024 1:35,closed,low,app,Data Sync,Customer reported issue related to data sync on dBank Rewards.
147,86,9,30/6/2024 0:16,6/7/2024 0:16,closed,medium,email,User Error,Customer reported issue related to user error on dBank Insights.
148,106,9,28/4/2025 15:50,28/5/2025 15:50,closed,medium,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
149,368,6,8/2/2023 3:11,13/2/2023 3:11,resolved,low,web,Data Sync,Customer reported issue related to data sync on dBank Mobile App.
150,209,7,6/4/2024 22:56,16/4/2024 22:56,closed,low,app,Backend Timeout,Customer reported issue related to backend timeout on dBank API Gateway.
151,329,10,6/3/2023 21:19,2/4/2023 21:19,closed,low,app,UI Bug,Customer reported issue related to ui bug on dBank Pay.
152,352,5,13/9/2024 3:08,12/10/2024 3:08,resolved,low,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Merchant.
153,274,4,20/5/2023 14:14,,pending,high,web,UI Bug,Customer reported issue related to ui bug on dBank Lending.
154,455,6,7/9/2025 0:24,24/9/2025 0:24,closed,low,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
155,202,9,14/7/2024 3:05,6/8/2024 3:05,resolved,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
156,114,10,4/5/2025 9:12,9/5/2025 9:12,closed,medium,email,Fraud,Customer reported issue related to fraud on dBank Pay.
157,38,5,18/11/2024 2:27,24/11/2024 2:27,resolved,high,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
158,336,4,13/4/2023 10:22,11/5/2023 10:22,closed,low,email,UI Bug,Customer reported issue related to ui bug on dBank Lending.
159,338,5,11/12/2024 21:16,29/12/2024 21:16,resolved,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
160,161,4,15/3/2025 8:03,4/4/2025 8:03,resolved,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
161,376,6,17/6/2025 17:28,28/6/2025 17:28,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
162,311,2,11/5/2025 10:13,,open,medium,web,UI Bug,Customer reported issue related to ui bug on dBank Wallet.
163,454,2,14/1/2025 2:44,,open,medium,email,User Error,Customer reported issue related to user error on dBank Wallet.
164,109,1,18/7/2024 9:29,4/8/2024 9:29,resolved,medium,web,UI Bug,Customer reported issue related to ui bug on dBank Core.
165,115,10,20/1/2025 10:35,5/2/2025 10:35,closed,low,app,User Error,Customer reported issue related to user error on dBank Pay.
166,435,10,1/12/2024 6:02,,open,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Pay.
167,290,3,23/1/2025 17:36,,open,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
168,136,6,28/8/2023 1:33,13/9/2023 1:33,resolved,low,email,Data Sync,Customer reported issue related to data sync on dBank Mobile App.
169,21,6,16/4/2023 18:58,24/4/2023 18:58,resolved,low,web,UI Bug,Customer reported issue related to ui bug on dBank Mobile App.
170,194,6,24/8/2024 23:47,,open,low,email,Third-Party API,Customer reported issue related to third-party api on dBank Mobile App.
171,115,9,20/2/2024 12:50,,pending,low,email,Data Sync,Customer reported issue related to data sync on dBank Insights.
172,4,9,22/6/2025 5:03,29/6/2025 5:03,closed,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
173,96,3,6/1/2024 21:55,9/1/2024 21:55,closed,low,call,User Error,Customer reported issue related to user error on dBank Savings.
174,247,8,5/5/2024 7:40,25/5/2024 7:40,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
175,304,3,18/5/2023 22:55,15/6/2023 22:55,closed,low,call,Data Sync,Customer reported issue related to data sync on dBank Savings.
176,265,7,5/9/2024 20:31,3/10/2024 20:31,resolved,high,web,UI Bug,Customer reported issue related to ui bug on dBank API Gateway.
177,242,8,24/6/2023 7:59,,open,medium,web,Fraud,Customer reported issue related to fraud on dBank Rewards.
178,262,5,21/6/2023 12:28,,open,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
179,9,4,19/6/2024 18:21,15/7/2024 18:21,closed,medium,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Lending.
180,315,10,9/2/2023 19:20,12/2/2023 19:20,closed,low,web,Data Sync,Customer reported issue related to data sync on dBank Pay.
181,277,1,7/7/2025 23:38,20/7/2025 23:38,resolved,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Core.
182,411,8,19/3/2025 13:52,13/4/2025 13:52,closed,low,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Rewards.
183,120,2,18/10/2023 21:46,,pending,low,app,User Error,Customer reported issue related to user error on dBank Wallet.
184,405,1,14/8/2024 19:01,14/8/2024 19:01,resolved,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Core.
185,55,3,12/3/2024 23:43,20/3/2024 23:43,resolved,low,call,Third-Party API,Customer reported issue related to third-party api on dBank Savings.
186,204,4,28/2/2024 20:06,,pending,low,email,UI Bug,Customer reported issue related to ui bug on dBank Lending.
187,158,10,19/12/2023 14:29,15/1/2024 14:29,closed,medium,email,User Error,Customer reported issue related to user error on dBank Pay.
188,487,3,13/4/2023 7:48,8/5/2023 7:48,resolved,medium,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
189,494,1,3/4/2025 3:18,,pending,high,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Core.
190,135,4,15/1/2024 2:54,7/2/2024 2:54,resolved,high,email,Fraud,Customer reported issue related to fraud on dBank Lending.
191,267,5,29/12/2024 21:45,22/1/2025 21:45,closed,medium,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
192,436,9,20/10/2023 7:05,8/11/2023 7:05,closed,medium,app,UI Bug,Customer reported issue related to ui bug on dBank Insights.
193,336,1,26/9/2025 5:43,4/10/2025 5:43,resolved,low,email,UI Bug,Customer reported issue related to ui bug on dBank Core.
194,103,9,16/1/2023 2:29,,pending,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Insights.
195,418,5,20/8/2023 22:04,,pending,high,app,UI Bug,Customer reported issue related to ui bug on dBank Merchant.
196,209,9,20/4/2023 20:20,29/4/2023 20:20,resolved,high,call,Data Sync,Customer reported issue related to data sync on dBank Insights.
197,417,10,14/9/2023 16:07,,pending,medium,call,Third-Party API,Customer reported issue related to third-party api on dBank Pay.
198,235,8,7/7/2025 21:21,,pending,low,app,UI Bug,Customer reported issue related to ui bug on dBank Rewards.
199,404,4,24/11/2024 8:22,,pending,high,app,User Error,Customer reported issue related to user error on dBank Lending.
200,135,4,22/10/2023 3:23,14/11/2023 3:23,resolved,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Lending.
201,182,4,4/7/2025 20:53,3/8/2025 20:53,closed,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
202,124,5,31/7/2023 8:20,7/8/2023 8:20,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Merchant.
203,41,8,20/9/2024 0:14,,open,medium,call,Fraud,Customer reported issue related to fraud on dBank Rewards.
204,253,10,8/6/2025 10:00,2/7/2025 10:00,resolved,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Pay.
205,410,7,4/5/2024 19:41,15/5/2024 19:41,resolved,medium,web,Backend Timeout,Customer reported issue related to backend timeout on dBank API Gateway.
206,62,9,16/4/2024 11:29,16/4/2024 11:29,closed,low,app,UI Bug,Customer reported issue related to ui bug on dBank Insights.
207,314,5,11/7/2023 19:58,19/7/2023 19:58,resolved,high,call,UI Bug,Customer reported issue related to ui bug on dBank Merchant.
208,256,7,4/8/2023 15:15,15/8/2023 15:15,resolved,medium,call,Backend Timeout,Customer reported issue related to backend timeout on dBank API Gateway.
209,293,3,29/9/2025 20:58,25/10/2025 20:58,closed,medium,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Savings.
210,439,7,20/7/2023 5:18,,open,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
211,256,3,3/7/2025 22:57,26/7/2025 22:57,resolved,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Savings.
212,440,10,18/2/2023 14:30,23/2/2023 14:30,closed,low,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Pay.
213,323,2,5/4/2024 12:11,16/4/2024 12:11,resolved,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Wallet.
214,445,10,23/7/2023 21:00,12/8/2023 21:00,closed,high,call,UI Bug,Customer reported issue related to ui bug on dBank Pay.
215,345,9,14/5/2024 16:16,,pending,medium,email,Fraud,Customer reported issue related to fraud on dBank Insights.
216,75,3,17/10/2024 12:17,5/11/2024 12:17,resolved,medium,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Savings.
217,176,4,18/11/2023 11:32,10/12/2023 11:32,resolved,medium,email,UI Bug,Customer reported issue related to ui bug on dBank Lending.
218,228,6,4/2/2025 21:22,18/2/2025 21:22,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
219,121,5,21/8/2025 2:54,2/9/2025 2:54,closed,low,email,Backend Timeout,Customer reported issue related to backend timeout on dBank Merchant.
220,14,7,20/6/2024 3:01,9/7/2024 3:01,closed,low,email,UI Bug,Customer reported issue related to ui bug on dBank API Gateway.
221,127,5,29/3/2024 22:48,14/4/2024 22:48,closed,low,call,Data Sync,Customer reported issue related to data sync on dBank Merchant.
222,167,8,23/4/2024 19:40,,pending,low,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Rewards.
223,234,10,21/3/2024 19:03,7/4/2024 19:03,resolved,high,email,Backend Timeout,Customer reported issue related to backend timeout on dBank Pay.
224,413,2,28/3/2024 11:12,5/4/2024 11:12,closed,low,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Wallet.
